priority,category,stage,filename,current_path,git_status,historical_commit,historical_path,size,sha256,description,why_yifeng_needs_it,already_on_github,safe_to_copy,notes
"SHOULD_TAKE","ALREADY_ON_GITHUB","5-12","pyproject.toml","E:\AI4science\xrd_robustness\pyproject.toml","tracked_clean","49b5c8f96d6a7c6fadf085505ec23599feafb1bb","xrd_robustness/pyproject.toml","858","AA062D7D8432407E9275DEB724C428DB60E19455F87111BDE6142DDF0B6C6CB4","当前 Python 依赖入口","复现环境起点","YES_CURRENT_MAIN","YES","不是完整历史 lockfile"
"SHOULD_TAKE","ALREADY_ON_GITHUB","1-13","RRUFF真实域_科研叙事.md","E:\AI4science\docs\RRUFF真实域_科研叙事.md","tracked_clean","c977ba355989f96ac2da13d31950daa0bb48d715","docs/RRUFF真实域_科研叙事.md","17147","B20130373C5F9A2254B8768F2FC7B4BD99B74F397A78289D4DAF888DC1566425","cuifa01/Yifeng 第一人称科研叙事","申请叙事主候选","YES_CURRENT_MAIN","YES_AFTER_SCIENTIFIC_REVIEW","CURRENT_NARRATIVE; 与 provenance 身份对齐; ECE/NLL/Brier/confidence 是后续分析议程而非当前已验证结果; snapshot mtime 2026-09-01T22:44:10"
"REFERENCE_ONLY","MISSING_AND_UNKNOWN","1-13","RRUFF_LINE_COAUTHOR_CONTRIBUTION.md","","observed_untracked_then_absent_during_audit","","","8313","7D8838B15912BD5C0D7F4DD50CAC9EDE52963E1879DCFA695FDF2A0B5E83C8A5","审计中曾观察的旧共同作者贡献草稿","仅保留瞬时文件指纹与风险判断","NO","MISSING","STALE_DRAFT; original observed path E:\AI4science\docs\RRUFF_LINE_COAUTHOR_CONTRIBUTION.md; attribution 与部分 per-class 内容已被当前证据推翻; 本审计未删除"
"SHOULD_TAKE","LOCAL_ONLY","1-13","分工陈述_申请材料.md","E:\AI4science\docs\分工陈述_申请材料.md","untracked","","","5052","96F7ACDCB027071A32C24B228E31B621C19874D26D83128E95137F5610CFA604","申请材料分工草稿","个人申请贡献叙事候选","NO","YES_AFTER_SCIENTIFIC_REVIEW","DRAFT; 与当前 provenance 对齐; 非科学结果 authority"
"SHOULD_TAKE","MISSING_AND_UNKNOWN","1-13","RRUFF_COLLABORATOR_RECORD.txt","","observed_untracked_then_absent_during_audit","","","5979","EC4DE0B13851F35C060A9646B3C2298D00A4ED8ED633B867C05B4CAFC099AF30","审计中曾观察的未完成 contributor-record 模板","仅保留瞬时文件指纹并等待重建或重新提供","NO","MISSING","DRAFT; original observed path E:\AI4science\docs\RRUFF_COLLABORATOR_RECORD.txt; 当时仍有姓名日期commit/report占位符; 本审计未删除"
"MUST_TAKE","LOCAL_ONLY","1-13","PROJECT_JOURNEY.md","E:\AI4science\00_project_context\PROJECT_JOURNEY.md","ignored; exact local version differs from last tracked blob","20467d4dc6c7746157f5e37902e5e3d7481a0c1b^","00_project_context/PROJECT_JOURNEY.md","85636","2D0B2C69E9BC17F3853DD08E62C228D6FAF0B29EBE4647F045D79D9A0646EFAF","本地项目旅程后续版","含 RRUFF 转向与本地独有编辑","NO_EXACT_HASH","YES","HISTORICAL_VALID local continuation"
"MUST_TAKE","LOCAL_ONLY","3-13","AI4Science_Project_Handoff_for_Admissions_AI_2026-08-07.md","E:\AI4science\00_project_context\AI4Science_Project_Handoff_for_Admissions_AI_2026-08-07.md","ignored; never tracked","","","27091","F4052680BA15EF21671651FA391569B6C010B8590DB9DA7F627F4A733D2D46FE","申请导向项目交接叙事","恢复 Stage 4-13 申请语境","NO","YES_AFTER_SCIENTIFIC_REVIEW","HISTORICAL_VALID narrative; 非贡献 authority"
"SHOULD_TAKE","LOCAL_ONLY","1","2026-08-04.md","E:\AI4science\.workbuddy\memory\2026-08-04.md","ignored; never tracked","","","1292","0C19426DF8164858CBA064C512CD196D8FCC45C8840BD1E886223F170CBDA420","RRUFF-371 未修改边界摘要","项目时间线旁证","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY; 非 DeepSeek raw"
"MUST_TAKE","LOCAL_ONLY","1-9","2026-08-06.md","E:\AI4science\.workbuddy\memory\2026-08-06.md","ignored; never tracked","","","3657","1D7F29019211CCA543B608509A9AE372CAD3CB0F9F543BF965C8034D9009B500","v1 bug v2 rerun与zero-shot转向摘要","申请叙事高价值旁证","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY; 含少量非RRUFF内容"
"MUST_TAKE","LOCAL_ONLY","12-13","2026-08-13.md","E:\AI4science\.workbuddy\memory\2026-08-13.md","ignored; never tracked","","","4457","7955181623302CD98E485AE23FBCCF6AE136A74DF84E5C93F17221E80CF2B595","evidence freeze与rerun优先级摘要","解释研究收束与治理决策","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY"
"SHOULD_TAKE","LOCAL_ONLY","13","2026-08-16.md","E:\AI4science\.workbuddy\memory\2026-08-16.md","ignored; never tracked","","","721","E0EE2079878FEAB577CF3DDD0EA09FBFF01FD0D0925644D27714683A94A8AFAB","申请叙事数字摘要","个人陈述辅助","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY"
"MUST_TAKE","LOCAL_ONLY","1-13","2026-08-23.md","E:\AI4science\.workbuddy\memory\2026-08-23.md","ignored; never tracked","","","17794","2E45512C868D8C66F515D34EDF87CA83F83787C64B6325EAE108C94A4F3B5CDB","Git 历史恢复与清理索引","恢复删除文件和完整轨迹","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY"
"SHOULD_TAKE","LOCAL_ONLY","13","2026-08-27.md","E:\AI4science\.workbuddy\memory\2026-08-27.md","ignored; never tracked","","","10973","1FB6CEA58E4BB7B0CE9D498C406096679C0E7ED11905120A3CE7F7B4433DEB00","balanced curated RRUFF与CNRS角色摘要","对齐最终报告边界","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY"
"MUST_TAKE","LOCAL_ONLY","1-13","2026-09-01.md","E:\AI4science\.workbuddy\memory\2026-09-01.md","ignored; never tracked","","","7584","C0261EAD25A5470C81EB9F6F76AD6CBFF3F08E983CAD05716C23AEB2F9C5957D","当日 attribution 校准摘要","证明当前归属澄清过程的项目内代理记录","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY; 最终观测版"
"SHOULD_TAKE","LOCAL_ONLY","1-13","MEMORY.md","E:\AI4science\.workbuddy\memory\MEMORY.md","ignored; never tracked","","","7753","D70EDD678E5FA2B819302105247F0BC27017979AD21A58FA78FC3B5E92C7536B","滚动项目记忆","便于索引其他日期摘要","NO","YES_RRUFF_EXCERPT_ONLY","SECONDARY_PROJECT_SUMMARY; 可变文件"
"MUST_TAKE","LOCAL_ONLY","1","rruff_pipeline_test directory","E:\AI4science\xrd_robustness\data\real_xrd\rruff_pipeline_test","ignored directory; never tracked as current bundle","","","502350","TREE_SHA256:32E5CF6DF32841AA52B0B096C6F77570E12C447FD09C1339D32FF61371AD0D73","36-file broad pipeline diagnostic bundle","保留 Stage 1 输入和manifest","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","HISTORICAL_VALID diagnostic-only; collection row"
"MUST_TAKE","LOCAL_ONLY","1","manifest.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff_pipeline_test\manifest.json","ignored","","","7730","2F29FEE3CB86A1028F70CB1837F4FFD9C32ED460482CD80B7D9E0970A81889B2","35-sample diagnostic manifest","恢复样本与标签","NO","YES","raw result file missing"
"MUST_TAKE","LOCAL_ONLY","2-4","rruff70 directory","E:\AI4science\xrd_robustness\data\real_xrd\rruff70","ignored directory; local exact bundle","","","11152748","TREE_SHA256:585EB07AED8C36AC9AE6D25A594AC77A26EB052E32CFE1D86C0B4A4FB20AEBBD","238-file frozen exploratory bundle","保存完整 RRUFF-70 设计结果与审计","NO_EXACT_BUNDLE","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","EXPLORATORY; collection row; historical Git has related but nonidentical blobs"
"MUST_TAKE","LOCAL_ONLY","2","RRUFF_REAL_PXRD_70_FINAL_REPORT.md","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\RRUFF_REAL_PXRD_70_FINAL_REPORT.md","ignored","","","2237","E57A5E94A80E0284E8B479371B038F414D4D11370646D9D5609E7E81BEB0A68F","本地 frozen package 报告","理解本地 exact bundle","NO_EXACT_HASH","YES","EXPLORATORY"
"SHOULD_TAKE","LOCAL_ONLY","2","CITATION_AND_RELEASE_POLICY.md","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\CITATION_AND_RELEASE_POLICY.md","ignored","","","744","1768EAA79CC09C73022787A4D41EB8CADCD9D14045E077BCCEF1F4621E4A63AA","引用与释放策略","复制前许可边界","NO","YES","POLICY"
"MUST_TAKE","LOCAL_ONLY","2","FREEZE_CERTIFICATE.txt","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\FREEZE_CERTIFICATE.txt","ignored","","","534","6083BF2181F49CC8BD89B4C9BAC3BEA06DDD52A7BEE0028F6EA62BCCC9ACA7E6","RRUFF-70 冻结证明","证明 exploratory 包完整性","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","2","dataset_contract.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\contracts\dataset_contract.json","ignored","","","2308","25CFEA69E5E0F1272F990249E7B0E268B442AFA8B0E6C4BDBBFFCDFD3A9CBBD7","RRUFF-70 dataset contract","复现和许可边界","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","2","execution_lock.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\contracts\execution_lock.json","ignored","","","877","909CE3BF3BD95ADBA2E13ECCA29AB5FDB5D565E31A1B851135A7EE1EC1CA77AA","exploratory execution lock","恢复运行约束","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","2","rruff70_real_adaptation_split_v1.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\manifests\rruff70_real_adaptation_split_v1.csv","ignored","","","148467","32C63334CF8EBEAC4CBE109E273E409345C5998C4247E867D464836B92EA4455","RRUFF-70 adaptation split","恢复 support/query 结构","NO","YES","EXPLORATORY"
"MUST_TAKE","LOCAL_ONLY","2","rruff70_fewshot_episode_manifest_v1.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\manifests\rruff70_fewshot_episode_manifest_v1.csv","ignored","","","49170","B38CE6083CE2F0D181C7E0B597112C0CAB852B9B8F92D9C77EDBACA7359EB0E6","RRUFF-70 episode/support manifest","恢复每个 exploratory episode","NO","YES","EXPLORATORY"
"MUST_TAKE","LOCAL_ONLY","2","fewshot_runs.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\results\fewshot_runs.csv","ignored","","","7690","F11F20DDB28F0764AA0FF72898A740F77F660045B2AC1BDC58E08E9C057AF7C3","RRUFF-70 run-level metrics","复核 5x5xK exploratory runs","NO","YES","EXPLORATORY"
"MUST_TAKE","LOCAL_ONLY","2","fewshot_paired_comparisons.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\results\fewshot_paired_comparisons.csv","ignored","","","6015","ED4087A29B37D3152FC8EDBCE3BD8F8ABC6293C0833B472900C93919390BC0FA","RRUFF-70 paired comparisons","复核 60/75 正配对","NO","YES","EXPLORATORY"
"MUST_TAKE","LOCAL_ONLY","2","fewshot_v2.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\results\fewshot_v2.json","ignored","","","70228","5D495257D90A242B1D16AAE9A4F529D8A3E567FD729176E1259A99E1D49CB64B","RRUFF-70 exploratory JSON","锁定 accuracy 与 per-class recall","NO","YES","EXPLORATORY; no macro_f1 field"
"SHOULD_TAKE","LOCAL_ONLY","2","rruff70_fixed200_paired_20260806.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\results\rruff70_fixed200_paired_20260806.csv","ignored","","","3766","B0C38A8628026E195136FBB837C88721B3350A4627B6433B9F5D616CA19333A7","fixed200 paired sensitivity","exploratory robustness旁证","NO","YES","EXPLORATORY"
"SHOULD_TAKE","LOCAL_ONLY","2","rruff70_fixed200_results_20260806.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\results\rruff70_fixed200_results_20260806.json","ignored","","","49749","1563AB6F33AA9E0FE3E739E412D71430B1DA29E81012E80EC6031E40AF2241D7","fixed200 result JSON","exploratory robustness旁证","NO","YES","EXPLORATORY"
"MUST_TAKE","LOCAL_ONLY","2","file_manifest_sha256.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\audits\file_manifest_sha256.csv","ignored","","","25812","32B5726750DFD829B6A50448D9C2BDAB6700E9072322355A2B789EC6E04ED588","RRUFF-70 per-file hash manifest","交接后完整性验证","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","2","freeze_record.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\audits\freeze_record.json","ignored","","","1202","0289C0BBA5B0C8B6DD78A13D099AB646E4AC347CB882DB158AA768A67667FEDF","freeze record","证明冻结状态","NO","YES","HISTORICAL_VALID"
"SHOULD_TAKE","LOCAL_ONLY","2","integrity_audit.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\audits\integrity_audit.csv","ignored","","","6296","E4A570D388187F40CE87CBFCD43F2A08036F3D4B5326F9544B7973C6E706CC5B","integrity audit","数据 QA 旁证","NO","YES","HISTORICAL_VALID"
"SHOULD_TAKE","LOCAL_ONLY","2","phase_evidence_audit.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff70\audits\phase_evidence_audit.csv","ignored","","","15873","52187E6C35D8DB9850829E6E97D98327B8D46F9FE707FDB5D16975CCA05FA5C4","phase evidence audit","标签证据 QA","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","5-12","rruff371 directory","E:\AI4science\xrd_robustness\data\real_xrd\rruff371","ignored directory; never tracked as full bundle","","","53902912","TREE_SHA256:6C51ADD46D00AFE75F479942E641B19B079AAB6C9F4811BBDEAC7A1AA2B50980","1492-file RRUFF-371 / corrected 301 source bundle","未来复核与复现的核心本地资产","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","CURRENT_AUTHORITATIVE inputs/results; collection row"
"SHOULD_TAKE","LOCAL_ONLY","5-9","CITATION_AND_RELEASE_POLICY.md","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\CITATION_AND_RELEASE_POLICY.md","ignored","","","350","6B30EFB51A09084CA32144C84FDEAEB0670E36CA940CA40450E36037D595D5E1","371 citation/release policy","复制前许可边界","NO","YES","POLICY"
"MUST_TAKE","LOCAL_ONLY","5","dataset_contract.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\contracts\dataset_contract.json","ignored","","","2285","3076EBA891880C46841A18E163AD6E7D1D3DE17B04A31D904D3AD90096605E52","371 dataset contract","冻结数据构建和许可边界","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","5-9","rruff371_master_manifest.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\manifests\rruff371_master_manifest.csv","ignored","","","324058","EBF6B35ABAF78C716498D327CDD02EF3FFC3E53662AFC56A5CB009A10B96B142","371 master manifest","样本ID来源结构与标签审计","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","CURRENT_AUTHORITATIVE input manifest"
"MUST_TAKE","LOCAL_ONLY","9","rruff301_adaptation_test_split.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\splits\rruff301_adaptation_test_split.csv","ignored","","","10424","9FEDCB1ABDF3F84349DFC8479D233FBD953E6552D7478DAC3680737E460BBE35","corrected v2 70+231 split","confirmatory/locked-test 设计核心","NO","YES","CURRENT_AUTHORITATIVE; 10 adaptation + 33 test per class"
"MUST_TAKE","LOCAL_ONLY","9","rruff301_manifest.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\splits\rruff301_manifest.json","ignored","","","775","AA82727DFF6B3016D53FF15934841EA5DF5F1AA93E7A991283D237B7CA66F8B6","corrected split manifest","绑定 split 数量和文件","NO","YES","CURRENT_AUTHORITATIVE"
"MUST_TAKE","LOCAL_ONLY","10-12","rruff301_fewshot_runs.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\results\rruff301_fewshot_runs.json","ignored","f36be82b2a0b5fd3c58ec87a58fa6e3ba839f217","xrd_robustness/reports/rruff301_existing_artifact_lineage_audit.json","82531","78839694E53B8944643EA1A24F82F011F8E86A2C5100D7FD9F8EAD94F152DBC3","150 run-level metrics raw","复核 Kx5x5 paired statistics的首要原始文件","NO_RAW_FILE","YES","CURRENT_AUTHORITATIVE; public JSON records this SHA"
"MUST_TAKE","LOCAL_ONLY","10-12","rruff301_predictions.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\results\rruff301_predictions.json","ignored","f36be82b2a0b5fd3c58ec87a58fa6e3ba839f217","xrd_robustness/reports/rruff301_existing_artifact_lineage_audit.json","9934446","D0D68E35B1AB2B9D528DBD8978FD97B27B70F71C51719BFF4B0D635534A2D6C9","34650 per-sample predictions","per-class与fix-break重算核心","NO_RAW_FILE","YES","CURRENT_AUTHORITATIVE; no logits/probabilities"
"MUST_TAKE","LOCAL_ONLY","10","rruff301_fixed200.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\results\rruff301_fixed200.json","ignored","","","23299","6B13BD8EB1E62DC1C9E88AE53B2906675BB778D46A26F5CC5FEAC6E2BA5815B2","fixed200 sensitivity results","复核 early-stop 结论","NO","YES","HISTORICAL_VALID sensitivity"
"SHOULD_TAKE","LOCAL_ONLY","1;9","rruff301_zero_shot.json","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\results\rruff301_zero_shot.json","ignored","","","4636","86DCDFA29C8E9FE4F468B52B4BBB0A5B683B0D7B47B4EC34F1280B1C884FAB2A","corrected split zero-shot diagnostic","说明 few-shot前的 domain gap","NO","YES","HISTORICAL_VALID secondary diagnostic"
"MUST_TAKE","LOCAL_ONLY","6-8","rruff301_split.csv","E:\AI4science\xrd_robustness\data\real_xrd\rruff371\results\rruff301_split.csv","ignored","24d8c8511bdea9df8b52cdf779b04420bebffafc","xrd_robustness/reports/rruff301_v1_audit_trail_20260807.md","9645","15B7E2CA94AD78E796B4FB8DF9B1EDA90A661AAB8D142BFF5C4ECCA454D72E1D","v1 erroneous 60/241 split","证明 bug 与 v1 invalidation","NO_RAW_FILE","YES","INVALIDATED; hexagonal=86 trigonal=0"
"SHOULD_TAKE","LOCAL_ONLY","1-5","rruff350 directory","E:\AI4science\xrd_robustness\data\real_xrd\rruff350","ignored directory; never tracked as full bundle","","","213682393","TREE_SHA256:72D6B24938BA533CB5D93FDF6B1FD30E2599AE7A578B058A2890A8B584AA12F0","1406-file 371前身与source archives","保存数据构建史和原始来源","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","HISTORICAL_VALID; superseded by 371; collection row"
"SHOULD_TAKE","LOCAL_ONLY","1-5","DIF.zip","E:\AI4science\xrd_robustness\data\real_xrd\rruff350\source_archives\DIF.zip","ignored","","","7986964","3B540DB61664CACDD22268FFBAC6AB586CA6BCE389B7399CC3E9BAAEB6607B03","RRUFF DIF source archive","重建 crystal-system labels的源证据","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","redistribution_rights_asserted=false"
"SHOULD_TAKE","LOCAL_ONLY","1-5","Refinement_Data.zip","E:\AI4science\xrd_robustness\data\real_xrd\rruff350\source_archives\Refinement_Data.zip","ignored","","","591440","7E075457EBAC5AD8C5841E699857E7666E6FEAE1F8E8DD00945DC6818D60D5F6","RRUFF refinement source archive","数据构建溯源","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","redistribution_rights_asserted=false"
"SHOULD_TAKE","LOCAL_ONLY","1-5","Refinement_Output_Data.zip","E:\AI4science\xrd_robustness\data\real_xrd\rruff350\source_archives\Refinement_Output_Data.zip","ignored","","","1447673","A51E4F7399051889A3D699DADB99C2139476D3D17EA47BAF85E3EBF3DF4F5C12","RRUFF refinement output archive","数据构建溯源","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","redistribution_rights_asserted=false"
"SHOULD_TAKE","LOCAL_ONLY","1-5","XY_Processed.zip","E:\AI4science\xrd_robustness\data\real_xrd\rruff350\source_archives\XY_Processed.zip","ignored","","","70340433","C0B079535AB3E6077212B7A8F6CED28129CBE538FC03B1479061430F219FF9CB","RRUFF processed XY archive","实验谱来源","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","redistribution_rights_asserted=false"
"SHOULD_TAKE","LOCAL_ONLY","1-5","XY_RAW.zip","E:\AI4science\xrd_robustness\data\real_xrd\rruff350\source_archives\XY_RAW.zip","ignored","","","91779732","948A133482BB3C99DA80194CC2848933AEE668129BEB209150F7F850CD4B0587","RRUFF raw XY archive","实验谱来源","NO","PRIVATE_ONLY_AFTER_LICENSE_REVIEW","redistribution_rights_asserted=false"
"MUST_TAKE","LOCAL_ONLY","7","check_rruff_pool.py","E:\AI4science\tmp\check_rruff_pool.py","ignored","","","2077","A78A2852CADC9DC0A70A792EA82B9E8764B8A22FCD168254C2948C53972A4F03","RRUFF pool/label diagnostic helper","恢复 bug discovery 工具链","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","9-12","run_rruff301_confirmatory.py","E:\AI4science\tmp\run_rruff301_confirmatory.py","ignored","","","18382","BC91D8FA5A5D715B3E393AA1A0AF0AC84823AF11DD2B1C672756E182DC4B6015","corrected v2 runner强候选","实际实验执行与复现核心","NO","YES","HISTORICAL_VALID candidate; hardcoded checkpoint path currently missing; support IDs not saved"
"MUST_TAKE","LOCAL_ONLY","7-9","fix_rruff301_split.py","E:\AI4science\tmp\fix_rruff301_split.py","ignored","","","4752","73E6184B21C7C94084EFA0762EC282E47B2EC2C191E45C72928779472B457938","trigonal/hexagonal split修复脚本","证明 bug correction 机制","NO","YES","HISTORICAL_VALID"
"MUST_TAKE","LOCAL_ONLY","11-12","analyze_representation.py","E:\AI4science\tmp\analyze_representation.py","ignored","","","14000","8643EC67905E454587CD31C6D95705A8BCC3D0BB1B0BD34CAAADE52BDAD2D000","per-class fix-break representation分析","恢复 Stage 11-12诊断","NO","YES","HISTORICAL_VALID; confidence is correctness-rate proxy only"
