profile,role,severity_level,background_type,background_order,background_variation,background_anchor_count,background_gp_length_scale,background_floor_fraction,noise_model,noise_stage,poisson_count_scale,electronic_noise_std_ratio,electronic_noise_std_counts,parameter,unit,distribution,min_value,max_value,apply_probability,literature_source,code_source,physics_basis,status,run_seed,source_config,config_sha256
ood_shift_positive,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,fwhm_deg,degree,fixed,0.08,0.08,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_shift_positive,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,background_to_peak_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_shift_positive,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_broadening,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,delta_2theta_deg,degree,fixed,0.0,0.0,1.0,Szymanski et al. 2021; SimXRD-4M 2025,src/xrd_robustness/simulator.py,"One global 2theta-axis offset, not lattice strain or a fitted local instrument function.",legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_broadening,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,fwhm_deg,degree,uniform,0.2,0.35,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_broadening,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,background_to_peak_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_broadening,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson,before_normalization,40000.0,0.0,0.0,noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_noise,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",delta_2theta_deg,degree,fixed,0.0,0.0,1.0,Szymanski et al. 2021; SimXRD-4M 2025,src/xrd_robustness/simulator.py,"One global 2theta-axis offset, not lattice strain or a fitted local instrument function.",legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_noise,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",fwhm_deg,degree,fixed,0.08,0.08,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_noise,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",background_to_peak_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_noise,evaluation_ood,3,polynomial,2,0.0,33,0.2,0.0,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,1.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_background,evaluation_ood,3,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson,before_normalization,40000.0,0.0,0.0,delta_2theta_deg,degree,fixed,0.0,0.0,1.0,Szymanski et al. 2021; SimXRD-4M 2025,src/xrd_robustness/simulator.py,"One global 2theta-axis offset, not lattice strain or a fitted local instrument function.",legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_background,evaluation_ood,3,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson,before_normalization,40000.0,0.0,0.0,fwhm_deg,degree,fixed,0.08,0.08,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_background,evaluation_ood,3,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson,before_normalization,40000.0,0.0,0.0,background_to_peak_ratio,ratio_to_normalized_peak_height,uniform,0.02,0.05,1.0,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_background,evaluation_ood,3,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson,before_normalization,40000.0,0.0,0.0,noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,0.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_texture,evaluation_ood,3,polynomial,3,"uniform[0.15,0.45]",33,0.2,0.15,poisson_gaussian,before_normalization,"log_uniform[2500.0,40000.0]",0.0,"uniform[0.0,2.0]",delta_2theta_deg,degree,uniform,-0.2,0.2,0.5,Szymanski et al. 2021; SimXRD-4M 2025,src/xrd_robustness/simulator.py,"One global 2theta-axis offset, not lattice strain or a fitted local instrument function.",legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_texture,evaluation_ood,3,polynomial,3,"uniform[0.15,0.45]",33,0.2,0.15,poisson_gaussian,before_normalization,"log_uniform[2500.0,40000.0]",0.0,"uniform[0.0,2.0]",fwhm_deg,degree,uniform,0.08,0.2,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_texture,evaluation_ood,3,polynomial,3,"uniform[0.15,0.45]",33,0.2,0.15,poisson_gaussian,before_normalization,"log_uniform[2500.0,40000.0]",0.0,"uniform[0.0,2.0]",background_to_peak_ratio,ratio_to_normalized_peak_height,uniform,0.0,0.02,0.5,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_texture,evaluation_ood,3,polynomial,3,"uniform[0.15,0.45]",33,0.2,0.15,poisson_gaussian,before_normalization,"log_uniform[2500.0,40000.0]",0.0,"uniform[0.0,2.0]",noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,1.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_all,evaluation_ood,4,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",delta_2theta_deg,degree,uniform,-0.5,0.5,1.0,Szymanski et al. 2021; SimXRD-4M 2025,src/xrd_robustness/simulator.py,"One global 2theta-axis offset, not lattice strain or a fitted local instrument function.",legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_all,evaluation_ood,4,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",fwhm_deg,degree,uniform,0.2,0.35,1.0,Salgado et al. 2023; Schopmans et al. 2023,src/xrd_robustness/simulator.py,Area-conserving effective scalar Gaussian-width surrogate motivated by Scherrer/Caglioti broadening.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_all,evaluation_ood,4,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",background_to_peak_ratio,ratio_to_normalized_peak_height,uniform,0.02,0.05,1.0,Schopmans et al. 2023; CPICANN 2024; SimXRD-4M 2025,src/xrd_robustness/measurement_models.py,Non-negative smooth additive background on the documented reference-peak scale.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
ood_all,evaluation_ood,4,gaussian_process,2,"uniform[0.35,0.9]",33,0.12,0.2,poisson_gaussian,before_normalization,"log_uniform[100.0,2500.0]",0.0,"uniform[0.0,5.0]",noise_std_ratio,ratio_to_normalized_peak_height,fixed,0.0,0.0,1.0,Schopmans et al. 2023; Vecsei et al. 2019; Salgado et al. 2023,src/xrd_robustness/measurement_models.py,Additive Gaussian observation-noise option retained as one explicit V7 measurement model.,legacy_candidate_not_frozen,20260714,configs/simulation.v7.candidate.json,AA65B2AE2BBADF37B9F6F672A4BD9CEB55BE7520C647451F830A8465849CC1DD
