source_id,paper_title,parameter,physical_mechanism,raw_value,raw_unit,sampling_distribution,normalization_definition,operator_formula,task,powder_or_film,single_or_multiphase,train_or_test_use,source_location,code_or_supplement_verified,mechanism_grade,numeric_transfer_grade,transfer_decision,V7_mapping,notes
XQ_2025,XQueryer 2025,mixture_noise_ratio,uniform additive mixture noise,0.02,ratio to normalized peak scale,uniform per point from 0 to nor_y.max*ratio,normalized profile before final rescaling,"uniform(0, nor_y.max * mixture_noise_ratio)",crystal structure identification,powder,single-phase,simulation default,"XQueryer/sim/ht_simxrd.py:69-70; XQueryer/sim/WPEMsim.py:98",true,A,B,candidate,noise_std_ratio,Do not relabel this as Gaussian sigma.
SAL_2023,Salgado et al. 2023,peak_width,Caglioti profile parameters,"Shape 1 U=0.05 V=-0.06 W=0.07; Shape 2 U=0.05 V=-0.01 W=0.01; Shape 3 U=0 V=0 W=0.01; Shape 4 U=0 V=0 W=0.001-0.1",Caglioti parameter units,discrete four conditions,H is computed before pattern normalization,"H=sqrt(U*tan(theta)^2+V*tan(theta)+W)",crystal-system and space-group classification,powder,single-phase,train,"Salgado PDF main text p.10, Table 1",true,A,A-,candidate,effective_fwhm_deg,Strong evidence for angle-dependent broadening; scalar V7 is a proxy.
SAL_2023,Salgado et al. 2023,noise,random intensity amplification,"0.2-2",percent of original intensity,uniform,added before normalization to max intensity 1000,random intensity amplification then normalize,crystal-system and space-group classification,powder,single-phase,train,"Salgado PDF p.10, Table 1 footnote and Methods",true,A,A-,candidate,noise_std_ratio,Best direct percentage evidence for a conservative V7 noise candidate.
SAL_2023,Salgado et al. 2023,normalization,pattern scale,largest peak=1000,arbitrary intensity,deterministic max normalization,after noise is added,divide by maximum and scale to 1000,crystal-system and space-group classification,powder,single-phase,train,"Salgado PDF p.10 Methods",true,A,B,candidate,noise_std_ratio,Must be recorded before comparing sigma values.
CPICANN_2024,CPICANN 2024,grain_size,Scherrer broadening,"2-50",nm,augmentation range,4500 point input from 10-80 degree,grain-size-controlled peak broadening,powder phase identification,powder,single-phase,training,"CPICANN PDF p.3; IUCr article lines 189-190",true,A,B,candidate,effective_fwhm_deg,Not a fixed FWHM range.
CPICANN_2024,CPICANN 2024,zero_shift,instrument zero shift,"-3 to 3",degree,random translation,2theta axis,translate 2theta globally,powder phase identification,powder,single-phase,augmentation/stress,"CPICANN PDF p.3; IUCr article lines 192 and 198-200",true,A,B,candidate,delta_2theta_deg,"Use as stress evidence, not normal V7 training range."
CPICANN_2024,CPICANN 2024,background,background condition,3,percent,one dataset condition,source scale not fully specified in main text,background mixture added to pattern,powder phase identification,powder,single-phase,training comparison,"CPICANN PDF p.3; IUCr article lines 194-195",true,A,B,blocked,background_to_peak_ratio,Exact mixture formula and scale must be recovered from supplement/code.
CPICANN_2024,CPICANN 2024,noise,Gaussian noise sigma,"0.25; 1; 3",source intensity units,three discrete datasets,source scale and preprocessing dependent,add Gaussian noise with source sigma,powder phase identification,powder,single-phase,training comparison,"CPICANN PDF p.3; IUCr article lines 194-195",true,A,C,blocked,noise_std_ratio,Cannot convert to V7 ratio without reproducing source intensity scale.
LEE_2023,Lee et al. 2023,lattice_perturbation,nonuniform peak shift,"+/-1% lattice-parameter deviation",percent,perturbed lattice parameters,peak height normalized 0-1,modify lattice parameters within +/-1%,crystal-system/extinction-group/space-group classification,powder,single-phase,training,"Lee PDF p.12 Experimental Section",true,A,B,rejected_for_delta_2theta,none,Mechanism evidence only for the current four-field interface.
LEE_2023,Lee et al. 2023,peak_width,Caglioti and mixing parameters,250 searched parameter sets,parameter set,random choice from reasonable correlated sets,peak height 0-1,FullProf peak formation parameters,crystal-system/extinction-group/space-group classification,powder,single-phase,training,"Lee PDF p.12 Experimental Section",true,A,B,candidate,effective_fwhm_deg,Exact full parameter bounds are not printed in the paper text.
LEE_2023,Lee et al. 2023,background,sixth-order polynomial background,order=6,polynomial order,random polynomial function,peak height 0-1,add sixth-order polynomial background,crystal-system/extinction-group/space-group classification,powder,single-phase,training,"Lee PDF p.12 Experimental Section",true,A,B,candidate,background_to_peak_ratio,"Supports operator family, not a direct amplitude ratio."
LEE_2023,Lee et al. 2023,noise,experimental noisy-background test,"1-5",percent of maximum peak intensity,range for test spectra,added to synthetic spectrum before preprocessing,add Gaussian noise,crystal-system classification,powder,single-phase,test only,"Lee PDF p.6 Results",true,A,B,candidate,noise_std_ratio,"Test condition, not the training range."
SCH_2023,Schopmans et al. 2023,crystallite_size,Scherrer broadening,"20-100",nm,uniform,"pattern rescaled to [0,1]",b=K*lambda/(L*cos(theta)),space-group classification,powder,single-phase,training,"Schopmans PDF p.3; Supplement not needed for this range",true,A,B,candidate,effective_fwhm_deg,"Direct size evidence, not scalar FWHM evidence."
SCH_2023,Schopmans et al. 2023,background,Gaussian-process background,"a=1; length scale l in [7,40]",dimensionless and grid units,random GP plus truncated-normal amplitude,"added to pure diffractogram in [0,1]","sample GP background then scale by truncated normal [0,150]",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement pp.4-5",true,A,B,candidate,background_to_peak_ratio,"Amplitude is not a peak-ratio field; preserve as operator evidence."
SCH_2023,Schopmans et al. 2023,additive_noise,Gaussian additive noise,"std in [0,0.02]",normalized intensity units,uniform,"added to pure diffractogram in [0,1]","add N(0,sigma_add)",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement p.5",true,A,B,candidate,noise_std_ratio,"Comparable in order of magnitude but not identical V7 preprocessing."
SCH_2023,Schopmans et al. 2023,multiplicative_noise,Gaussian multiplicative noise,"std in [0,0.16]",dimensionless,uniform,applied after additive/background steps,"multiply by N(1,sigma_mult)",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement p.5",true,A,B,rejected_for_current_four_fields,none,"Requires a separate multiplicative-noise parameter."
SCH_2023,Schopmans et al. 2023,peak_width,Caglioti width,"U and W in [0,0.01]",Caglioti parameters,uniform with V=0,"pattern intensity [0,1]","FWHM_G^2=U*tan(theta)^2+V*tan(theta)+W",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement p.5",true,A,B,candidate,effective_fwhm_deg,"Strong support for angle-dependent broadening."
SCH_2023,Schopmans et al. 2023,impurity,impurity phase fraction,"a in [0,0.05]",fraction,uniform,pattern intensities,"I=(1-a)I_pure+aI_impurity",space-group classification,powder,single-phase,training,"Schopmans supplement p.5",true,A,B,rejected_for_current_four_fields,none,"Separate from measurement noise/background."
SZY_2021,Szymanski et al. 2021,observed_fwhm,experimentally broad peak,FWHM as large as 1.5,degree,reported artifact boundary,peak-angle scale,finite domain/ball-milling broadening,multiphase phase identification,powder,multiphase,artifact test,"01_Szymanski_2021_XRD_AutoAnalyzer.pdf main text p.4",true,A,B,candidate,effective_fwhm_deg,Direct scalar angle boundary only; not a training distribution.
SZY_2021,Szymanski et al. 2021,baseline_noise,noisy baseline,up to 5,percent of maximum peak intensity,reported artifact boundary,maximum peak scale,additive baseline/noise,multiphase phase identification,powder,multiphase,artifact test,"01_Szymanski_2021_XRD_AutoAnalyzer.pdf main text p.4",true,A,B,candidate,background_to_peak_ratio,Supports the 0.05 stress upper bound only after the V7 scale is explicitly matched.
SZY_2021,Szymanski et al. 2021,noise,Gaussian intensity noise,1-5,percent of maximum peak intensity,uniform test magnitude,maximum peak scale,add Gaussian noise,multiphase phase identification,powder,multiphase,test spectra,"01_Szymanski_2021_XRD_AutoAnalyzer.pdf main text p.5",true,A,B,candidate,noise_std_ratio,Direct percentage anchor for the V7 OOD stress range.
SIM_2025,SimXRD-4M 2025,zero_shift,instrument zero shift,"[-1.2,1.2]",degree,uniform random translation,2theta axis,translate every 2theta by one scalar,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,A,candidate,delta_2theta_deg,"Direct paper range for the global-offset meaning."
SIM_2025,SimXRD-4M 2025,grain_size,finite grain broadening,"[2,50]",nm,uniform random,pattern intensity,Scherrer-related FWHM,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,A,candidate,crystallite_size_nm,"Direct numeric source for a future physical broadening field."
SIM_2025,SimXRD-4M 2025,background_ratio,sixth-order polynomial background,0.02,ratio,reported condition,normalized pattern,add sixth-order polynomial background,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,B,candidate,background_to_peak_ratio,Paper value is 0.02; source code default is 0.05 and must remain a discrepancy.
SIM_2025,SimXRD-4M 2025,gaussian_white_noise,whole-pattern Gaussian noise,0.02,ratio to pattern intensity,reported condition,normalized pattern,add Gaussian white noise,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,B,candidate,noise_std_ratio,Direct 2 percent anchor; source code uses a uniform mixture-noise operator.
SIM_2025,SimXRD-4M 2025,thermal_vibration,atomic thermal displacement,"[0.01,0.5]",angstrom,random range,structure coordinates,Debye-Waller intensity factor,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,A,rejected_for_current_four_fields,thermal_vibration_A,"Future optional sample/temperature factor."
SIM_2025,SimXRD-4M 2025,internal_stress,lattice deformation,up to 10,percent,lattice constant perturbation,lattice parameters,modify lattice constants then recompute Bragg positions,crystal-system and space-group classification,powder,single-phase,training conditions,"SimXRD-4M paper Appendix B.4",true,A,B,rejected_for_current_four_fields,lattice_strain_percent,Do not map to global delta_2theta_deg.
CPICANN_2024,CPICANN 2024,thermal_vibration,atomic thermal displacement,"[0.05,0.5]",angstrom,random range,structure coordinates,Debye-Waller intensity factor,powder phase identification,powder,single-phase,augmentation,"CPICANN PDF p.3",true,A,B,rejected_for_current_four_fields,thermal_vibration_A,"Supports the optional thermal-vibration parameter."
CPICANN_2024,CPICANN 2024,internal_stress,lattice deformation,up to 20,percent,lattice constant perturbation,lattice parameters,recompute peak positions after stress,powder phase identification,powder,single-phase,augmentation,"CPICANN PDF p.3",true,A,B,rejected_for_current_four_fields,lattice_strain_percent,Stress value is not a global zero shift.
LEE_2023,Lee et al. 2023,fullprof_standard_peak_shape,standard Caglioti and mixing values,"u=0.004133; v=-0.007618; w=0.006255; x=0.018961; y=0; eta=0",FullProf parameters,fixed standard set,peak height 0-1,FullProf peak formation,crystal-system/extinction-group/space-group classification,powder,single-phase,training,"Advanced_XRD_Analysis/XRD_Generator.ipynb cell 2",true,A,B,candidate,caglioti_u|caglioti_v|caglioti_w|pseudo_voigt_eta,Code mapping is exact for the fixed standard set; full 250-set bounds are not printed.
LEE_2023,Lee et al. 2023,texture_march,preferred orientation,"G1 in [0.5,0.9]",dimensionless,random texture dataset,peak height 0-1,modified March intensity factor,crystal-system/extinction-group/space-group classification,powder,single-phase,texture dataset,"Lee PDF p.12 Experimental Section",true,A,B,rejected_for_current_four_fields,texture_strength,"Applies only to the texture-included dataset, not the default powder set."
SCH_2023,Schopmans et al. 2023,pseudo_voigt_eta,pseudo-Voigt mixing,"eta in [0,1]",dimensionless,uniform,"pattern intensity [0,1]","PV=eta*G+(1-eta)*L",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement p.5",true,A,A,candidate,pseudo_voigt_eta,"Direct code/formula anchor for a future peak-shape parameter."
SCH_2023,Schopmans et al. 2023,background_area_scale,GP background integrated scale,"[0,150]",normalized array-sum units,truncated normal with mean 0 and std 75,"background is divided by sum of 8501 entries before scaling","b_i=s*(g_i-min(g))/sum_j(g_j-min(g))",space-group classification,powder,single-phase,experimental-data adaptation,"Schopmans supplement p.5 steps 1-5",true,A,B,rejected_for_current_four_fields,background_area_scale,"This is a total background-area scale, not max-background divided by max-peak."
